Link,ExpectedTime
http://www.ilovediamonds.com/,3
http://www.ilovediamonds.com/jewellery/earrings.html,5
http://www.ilovediamonds.com/jewellery/pendants.html,5
http://www.ilovediamonds.com/jewellery/rings.html,5
http://www.ilovediamonds.com/jewellery/bracelets.html,5
http://www.ilovediamonds.com/collections/black-beauty.html,4
http://www.ilovediamonds.com/collections/candid-celebrations.html,5
http://www.ilovediamonds.com/collections/daily-dazzle.html,5
http://www.ilovediamonds.com/collections/drops-domes.html,6
http://www.ilovediamonds.com/collections/irresistible-illusions.html/,5
http://www.ilovediamonds.com/collections/kids-collection.html,5
